,msg_id,entity_id,userbot_id,mentioned,link_value,link_type,counter,mention_type,entity_members_count,entity_views,sponsored_message_text,created
60,3084,537664984,6011488836,1157521395,internetpuke,public_channel,1,normal,,,,2023-03-28 03:26:13
61,3200,537664984,6011488836,1777824488,ukr_pics,public_channel,1,normal,,,,2023-03-28 15:41:38
62,3280,537664984,6011488836,1731931467,sillyziggers,public_channel,1,normal,,,,2023-03-28 18:20:54
63,3468,537664984,6011488836,1545383908,generalmcnews,public_channel,1,normal,,,,2023-03-28 23:23:21
64,3469,537664984,6011488836,1316560023,gauchism,public_channel,1,normal,,,,2023-03-28 23:48:21
65,3527,537664984,6011488836,1088649810,ylyl4chan,public_channel,1,normal,,,,2023-03-29 01:52:20
66,3588,537664984,6011488836,1293013534,pol4chan,public_channel,1,normal,,,,2023-03-29 02:18:43
67,3611,537664984,6011488836,1161666782,bellumactanews,public_channel,1,normal,,,,2023-03-29 02:18:51
68,4076,537664984,6011488836,1256270445,psychoeugenics,public_channel,1,normal,,,,2023-03-29 11:45:47
69,4100,537664984,6011488836,1731931467,sillyziggers,public_channel,1,normal,,,,2023-03-29 14:38:19
70,4240,537664984,6011488836,1787001965,morrakiu,public_channel,1,normal,,,,2023-03-29 19:06:15
71,4241,537664984,6011488836,1903065708,anarchyinternational,public_channel,1,normal,,,,2023-03-29 19:06:29
72,1821,755562044,5860746325,1184470277,t_poster,public_channel,1,normal,,,,2023-03-27 15:58:29
73,365,911875254,6090079980,1640879703,vip_ice,public_channel,1,normal,,,,2023-03-14 20:54:37
74,52768,1001934214,6178760839,1727151491,vestimagadan,public_channel,1,normal,6752.0,1667.0,,2023-03-14 01:19:52
75,52839,1001934214,6178760839,1861940916,magadan_alanis,public_channel,1,normal,6743.0,1464.0,,2023-03-17 00:31:17
76,53047,1001934214,6178760839,1018929686,primamedia,public_channel,1,normal,6804.0,1469.0,,2023-03-23 10:37:11
77,53047,1001934214,6178760839,1216668473,priamurmedia,public_channel,1,normal,6804.0,1469.0,,2023-03-23 10:37:11
